p,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000
6,109,193,320,404,519,657,757,882,1036,1177,1569,1525,1750,2084,2240,2518,3236,3019,4054,4050,9530,16385,24078,37515,51024,58415,105911,97776,243200,399760,734838,1070793
7,123,252,375,592,638,822,972,1186,1360,1521,2130,2105,2402,2672,2966,3304,3955,4548,5728,5441,15271,23522,37225,57857,73393,110059,170597,189319,490262,692414,1327332,1905514
8,131,253,398,546,678,897,1035,1220,1469,1733,2159,2757,2543,2829,3201,3929,4503,4390,6288,6755,12737,26485,39839,63985,70924,122779,189812,199486,478413,806662,1542343,2187780
9,156,312,479,662,1157,1058,1266,1635,2166,2388,3260,3395,4175,4333,4783,5454,5320,6723,10815,8928,17931,36347,68660,89648,137552,215190,341300,331097,1044635,1579155,3020719,4890520
10,184,377,599,1102,1194,1468,2341,2514,2685,3574,4211,5016,5508,6022,8147,8350,10056,10352,13947,16279,40091,70068,134800,189173,282290,385117,598930,626574,2122296,3409048,6325514,11506296
11,217,505,854,1309,1800,2226,2953,4761,5852,6274,8610,9543,11097,15262,13796,16379,22280,21837,28233,30419,64870,132324,239738,329625,530739,704080,975624,1107197,3277887,7159245,12690649,18779509
12,213,509,933,1477,1915,2268,3730,3769,5093,5469,7976,9648,13164,11887,13991,17909,17728,25786,33104,27303,65496,144151,259432,399942,590399,798585,968084,1142853,4208720,9821683,14742296,25309092
13,236,525,896,1342,2254,2703,3855,4699,6234,6868,8159,9129,11491,13989,16110,18251,21075,28688,25158,32656,82542,150141,269300,438953,670831,792260,1099079,1362475,4439976,9201258,11935371,20489380
