p,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000
6,139,323,471,714,946,1021,1408,1420,2023,2016,3214,3565,3951,4460,5132,5733,6686,6902,8268,8469,19774,33515,52111,68844,99734,155841,222486,191911,609491,1037483,1747985,3640328
7,224,314,495,702,926,1231,1989,2459,2562,3345,4335,5128,5002,5649,6844,8037,8303,10379,12605,12847,28596,44906,75687,107685,145980,213945,295713,271114,986130,1735198,2584281,5875358
8,173,340,543,985,984,1465,1858,2234,2862,3849,4569,4345,6012,6419,6945,9583,9518,10606,13186,12453,33591,58489,87869,126412,184979,251100,311259,418525,1311418,2033440,3588459,5562068
9,180,441,697,807,1047,1265,1632,2648,3197,3183,4266,5611,5795,5820,7767,8363,12647,10806,12379,13173,34165,59381,93006,129639,172797,263748,317198,340147,1242226,2113848,4418998,8667601
10,214,486,710,962,1366,2127,2170,3107,4048,5149,5501,7375,9487,8660,10041,13072,14397,15318,18828,20129,47399,85736,132434,208597,282714,437816,596030,574194,1955061,4110173,6924772,10338004
11,255,584,1049,1392,2329,2760,3188,5147,5470,7533,9557,11183,14524,15241,15290,20469,23041,25785,28203,34814,78994,138160,250157,360708,519426,735993,849920,1005840,2575685,5927157,12053110,18084090
12,350,627,1118,1495,2313,3580,4839,4728,7008,6933,12608,12896,15406,18404,20640,23532,24463,26092,34374,37887,83273,167146,301630,428498,750486,1179134,1154821,1413151,4058288,8480176,14577695,27092317
13,339,825,1135,1700,2715,3064,3765,5988,7946,7342,11296,14303,15435,16210,23042,24706,27968,28195,31879,39094,92832,187734,293026,602093,836218,1218684,1320406,1596224,5244246,12181462,15540429,21368146
