p,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000
6,105,210,299,394,506,706,750,956,1031,1191,1365,1539,1768,2030,2228,2448,3215,3578,3285,4523,7717,12659,22333,30062,42087,51072,65185,87116,269169,339281,679535,901004
7,120,243,368,498,639,801,970,1231,1412,1682,1798,2081,2418,2635,3208,3313,3773,4067,5382,6747,13872,20565,39103,48890,68087,84530,111053,144983,505250,587567,1221570,1502077
8,144,249,437,584,690,838,1138,1351,1575,1869,2159,2437,2856,3446,4227,4084,4373,6052,6183,6629,13728,26152,40576,60720,83890,107321,119269,151871,562364,773851,1626153,2277063
9,160,287,567,618,1073,1041,1692,2295,2475,2914,3556,4336,4755,5567,6261,7218,7652,8776,10715,12235,23616,39950,71868,98098,134054,167425,227251,296545,1043175,1198219,3169042,3640254
10,171,348,529,755,1038,1679,2062,2627,3266,2731,4650,5531,6333,6813,7604,6560,10009,10901,12727,16756,28494,61902,93992,132613,183642,256712,306086,416140,1359897,1905701,4971290,5714467
11,180,415,547,1024,1090,1510,2099,2122,3092,3909,4855,5481,6048,6623,7742,9009,11034,12879,13059,14256,28681,64557,81411,140418,190359,248513,312229,386201,1323939,1972401,5327726,5998838
12,202,401,656,995,1264,1719,2295,3314,5743,5543,6170,7666,8930,9399,10616,11559,12989,15859,20327,22108,44431,87061,141359,212295,278742,391952,467332,612216,1989690,3762741,8538056,10543748
13,269,499,857,1309,1922,3000,3188,4774,5594,7502,10128,11252,12250,13942,18607,17689,26537,24483,27250,30749,77483,138125,245256,374689,453007,759300,857146,1052605,3858490,7022372,16580839,21545772
