p,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000
6,230,501,730,762,1065,1354,1718,1819,2051,1988,2331,2474,3044,3443,3663,3271,4416,3946,4416,4188,8618,12308,14255,17711,18710,21412,28505,28198,42808,61548,80705,97813
7,267,430,647,1034,1110,1389,1558,1733,2564,2316,2990,2619,2973,3622,3648,3879,4490,4455,4883,4797,8077,11492,14841,18101,22069,23512,26873,29251,48470,66909,80263,95352
8,249,465,662,954,1114,1368,1724,1817,2748,3127,2633,3215,3481,4053,4568,3829,4026,4622,5099,7321,8501,10864,15516,21448,22339,30191,30107,37518,60481,73923,105725,125603
9,249,548,1037,1207,1611,1826,2402,3256,3262,2929,3781,4046,5141,5358,5868,5359,6996,5921,7225,6646,12539,16921,19818,28155,34023,36686,44128,50552,91640,113793,168351,178653
10,314,485,783,1388,1684,2094,2680,2723,3049,3940,3495,4495,5218,5191,4783,5432,5946,6320,6724,7649,10990,17299,23917,28193,36227,44783,52075,52293,91561,130132,209011,226275
11,369,957,1641,2244,2837,3859,4317,4523,5553,6983,5890,9330,10654,8106,11396,10531,11369,11939,12517,13871,21754,29016,43516,63178,62075,72737,89629,90187,174898,244040,301667,445472
12,707,1665,2356,3797,4488,5508,7600,8128,9746,9591,11009,14157,13839,15602,16968,19487,19558,22005,23513,22222,40551,56083,87170,104687,129460,145071,177064,185803,368595,491543,777249,943091
13,1183,2418,4187,6817,9016,10294,12475,15848,17856,18000,20727,23696,25345,34619,34362,33534,36715,40028,43439,43416,75361,109135,172444,175908,211224,291537,320515,360460,665443,1099125,1500526,2482833
