p,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000
6,139,242,463,562,676,798,991,1093,1188,1472,1756,1842,1642,1953,2047,2658,3029,2789,2930,3044,4594,6796,9106,10404,12682,13446,19471,17949,25858,46251,47342,71221
7,191,320,510,817,1083,1200,1420,1917,2090,2317,2620,2456,2600,2901,3671,3599,3840,4548,4372,4869,9515,9660,12633,16762,21875,24412,26436,33268,45709,66482,82762,105287
8,173,382,613,853,950,1248,1571,1705,1951,2735,2820,2669,2663,3344,4056,4120,4559,4470,4541,4800,6972,12653,15175,19856,19839,23540,30786,30816,53804,73641,103916,126087
9,270,610,850,1365,1660,2210,2281,2856,3487,4645,4464,4410,5533,5718,6332,7976,7934,8610,9180,10527,14656,22909,26811,31094,40695,49933,54709,63962,99567,140680,191116,219722
10,456,933,1618,2557,2778,4159,4273,5577,5412,8361,7093,9128,8745,12012,12356,12099,15452,19874,15935,16450,27466,38377,55034,64288,81421,91684,112349,124525,220553,328949,459607,646616
11,851,1998,2869,3922,5451,7009,7363,9335,9993,13509,16233,14449,18323,18652,20811,26025,28277,29180,31713,33168,50357,84697,101369,119080,160358,180610,206496,272544,522524,673655,1012486,1484162
12,701,1833,2653,4025,5885,7405,8493,9106,13442,11697,14413,14082,19481,19188,23688,24789,24623,29056,32460,32840,51767,79794,101718,156530,158949,191501,238035,241738,575908,780368,1060415,1620490
13,724,1724,2974,3956,5671,6370,8272,12468,12815,14507,14649,19215,17142,17676,22254,25370,27993,30666,32054,36446,65792,91312,112348,129468,157629,188809,224197,282670,514747,793752,1120295,1749560
