p,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000
6,134,274,355,473,635,766,907,1027,1125,1329,1502,1885,2140,1925,1968,2110,2611,2572,2545,3105,3872,5415,8143,9054,12393,16463,13425,17398,24624,34750,49799,55191
7,197,385,586,760,923,1205,1388,1950,1896,1957,2275,2979,2666,2947,3487,3246,3587,3474,4240,4038,6302,9506,10204,14339,21268,19177,28296,26781,48852,60192,91847,115450
8,181,378,783,802,1081,1226,1782,1906,2223,2737,2617,3776,3324,3684,3407,4213,4429,4503,5036,5357,8424,11471,14235,18655,25861,27554,41129,31939,65220,87134,124800,145862
9,180,397,762,848,1542,1345,2104,2428,2914,2508,3621,4335,3946,4603,4870,5588,5282,5890,6755,6554,11831,14730,19814,22278,28303,40873,40408,51622,85203,101318,172116,211300
10,280,683,870,1331,1747,2043,2938,3040,4200,3989,5107,5699,5984,6587,7419,7320,8465,7733,8434,10309,15603,23024,28951,36577,50418,59774,55898,72359,131222,206461,245797,269771
11,311,746,985,1705,1734,2556,3307,2997,3765,4065,4992,7183,5617,6740,6787,6656,7595,8137,9781,9680,14711,24993,28249,37633,51491,57751,67694,74165,124082,194931,285733,299295
12,429,847,1725,2323,3561,3489,4640,5414,6919,7379,7582,10189,9918,10994,12726,14885,13467,14848,17889,18103,29599,40688,54022,78836,105123,108500,128390,135133,253867,333212,517109,616024
13,721,1615,2943,4418,5381,6684,7982,9450,11794,13837,14633,21707,16395,19937,22065,23018,25149,28632,29933,29872,57702,74517,121978,146958,180343,194230,226740,258620,496414,823168,1224757,1574828
