keys,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000
6,5,5,8,6,6,6,5,6,6,6,6,4,5,4,6,5,8,6,6,4,6,6,6,6,6,6,6,5,6,6,6,6
7,7,9,9,9,8,9,8,9,7,9,8,7,7,7,7,7,7,6,7,6,9,10,9,10,9,10,10,10,10,10,10,10
8,7,8,10,9,10,10,9,10,9,8,9,12,9,9,9,9,8,9,8,11,8,11,11,11,10,15,15,11,11,15,15,15
9,10,14,12,11,17,11,12,11,11,10,11,15,13,10,10,10,10,10,15,10,10,11,13,14,14,16,16,15,20,20,21,23
10,13,17,16,17,14,14,22,16,13,13,15,13,12,11,14,13,13,11,13,15,20,20,25,23,24,26,27,24,25,33,32,38
11,19,18,22,25,21,20,21,26,23,22,21,24,22,34,21,20,29,20,30,24,23,29,36,31,40,27,36,38,43,50,46,41
12,15,22,24,24,23,20,31,22,21,19,23,26,30,19,20,28,22,38,29,22,26,35,45,46,45,47,45,51,70,70,72,73
13,19,19,22,23,31,24,29,29,30,26,26,20,20,26,28,24,30,32,21,28,38,32,49,48,46,41,57,59,71,72,74,71
