p,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000
6,8,6,6,6,8,7,6,6,7,5,5,5,6,6,6,4,6,7,7,7,5,6,5,6,6,6,6,6,6,6,9,4
7,7,7,6,7,6,7,8,9,9,9,7,8,6,8,8,8,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,8
8,8,8,8,10,8,8,8,7,8,8,9,9,9,8,8,9,9,8,8,11,12,8,11,11,11,11,11,11,11,12,10,11
9,8,9,11,11,11,14,13,17,13,14,13,10,17,12,12,13,16,13,17,16,16,16,12,14,14,16,15,14,17,16,16,15
10,10,10,12,15,15,15,14,11,14,10,14,14,19,13,14,13,14,13,13,13,17,12,16,13,17,17,15,17,21,22,21,28
11,10,15,14,13,13,13,17,17,12,16,13,21,20,16,22,16,16,15,16,17,18,16,15,23,23,23,23,22,30,28,23,28
12,16,18,17,15,22,16,20,22,21,16,22,22,20,23,22,20,21,20,23,26,26,23,29,33,27,28,42,36,40,36,39,47
13,17,25,24,29,31,22,25,34,18,19,31,27,30,30,26,30,33,40,30,34,31,45,38,44,42,54,47,40,64,62,65,68
