p,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000
6,5,6,6,6,6,6,6,6,5,5,5,6,5,5,6,5,7,7,5,7,5,4,6,6,6,6,6,6,6,6,6,24
7,7,9,9,8,9,9,9,8,7,9,8,8,7,7,7,7,8,7,9,10,10,7,8,9,9,9,10,10,10,9,10,38
8,10,8,13,13,10,10,13,13,13,11,11,11,11,11,12,11,11,16,16,11,10,15,14,15,14,14,13,14,14,16,15,60
9,8,9,14,11,18,10,16,17,17,16,17,17,16,16,16,16,17,16,21,21,15,15,20,20,20,20,20,20,18,19,23,19
10,12,13,15,14,19,23,21,22,23,18,22,22,23,22,21,17,22,21,22,28,20,27,28,28,28,30,29,31,29,33,32,30
11,13,15,14,19,19,19,23,18,23,23,23,23,23,21,22,22,29,25,22,23,22,29,22,30,30,31,29,28,36,38,38,40
12,17,15,17,21,22,22,22,26,30,30,29,34,30,26,26,25,27,28,37,32,28,32,36,38,37,45,38,45,47,56,52,56
13,21,21,23,28,30,42,29,37,35,43,42,38,37,34,41,35,46,35,39,35,49,47,52,54,47,68,54,52,76,85,89,92
