p,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000
6,5,6,5,6,6,5,6,4,6,4,6,5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,4,6,4,4,8
7,7,8,7,6,6,6,9,9,9,9,9,10,9,9,9,9,9,10,10,8,8,8,8,8,8,7,8,6,9,8,7,10
8,10,10,8,7,8,8,10,7,10,10,10,8,10,10,10,14,10,10,14,10,15,13,13,13,13,12,12,17,14,13,12,12
9,9,10,12,8,8,8,8,11,11,8,11,12,11,11,11,11,16,10,11,11,14,15,14,14,14,14,19,13,19,15,23,29
10,14,13,12,12,12,15,10,12,12,15,14,14,15,14,13,15,16,14,15,14,18,15,16,20,20,20,26,20,29,28,30,31
11,18,18,21,17,22,16,16,21,20,20,21,21,22,23,17,22,22,21,23,25,28,26,31,36,35,27,24,27,34,35,39,36
12,18,24,22,21,24,21,32,19,24,21,29,28,29,31,31,28,27,25,40,28,28,36,47,40,49,59,53,52,65,63,62,66
13,23,30,26,31,29,26,22,28,31,19,31,37,28,26,30,35,40,30,33,44,40,43,45,65,60,67,67,59,87,88,94,84
