p,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000
6,59,60,60,60,59,58,59,60,58,58,59,59,57,56,56,58,56,58,58,58,55,56,55,56,56,56,55,56,55,55,55,53
7,124,124,123,124,123,124,122,123,122,123,121,122,123,122,122,122,121,121,120,122,120,120,120,120,120,120,120,120,119,119,119,119
8,252,252,252,251,252,252,252,251,249,249,250,250,250,249,249,250,250,249,249,247,248,248,247,247,247,247,247,247,247,246,246,244
9,509,508,507,507,507,506,505,504,505,506,505,505,503,504,504,504,503,505,503,502,502,502,503,500,500,500,500,499,498,498,498,497
10,1020,1020,1019,1018,1018,1018,1017,1018,1017,1017,1017,1017,1016,1016,1017,1016,1016,1015,1016,1016,1015,1014,1012,1013,1012,1011,1012,1011,1008,1010,1008,1006
11,2043,2041,2040,2039,2039,2038,2037,2038,2036,2036,2039,2035,2033,2036,2035,2035,2035,2034,2035,2034,2033,2032,2031,2029,2029,2027,2027,2028,2025,2024,2021,2021
12,4088,4084,4083,4080,4081,4079,4078,4076,4077,4081,4078,4077,4076,4076,4074,4075,4074,4074,4074,4073,4073,4068,4063,4063,4062,4062,4059,4060,4054,4050,4047,4050
13,8177,8175,8174,8167,8166,8166,8163,8162,8160,8161,8160,8158,8157,8158,8155,8159,8155,8153,8155,8154,8153,8148,8141,8142,8138,8133,8132,8133,8123,8117,8112,8111
