p,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000
6,59,60,59,57,57,59,57,58,57,58,57,56,57,57,57,57,56,57,56,57,56,56,55,56,55,55,54,54,55,53,53,53
7,124,122,121,120,120,120,119,119,119,118,117,117,119,119,118,117,118,117,116,116,114,116,114,114,114,113,113,112,113,110,111,108
8,251,251,249,248,249,248,247,248,246,246,245,246,245,245,246,244,245,245,245,246,243,241,241,241,240,240,240,239,237,236,235,235
9,508,506,504,504,504,504,504,501,503,502,502,500,502,503,502,502,498,500,501,501,497,498,497,497,497,497,496,496,493,493,490,490
10,1017,1015,1012,1013,1012,1010,1010,1008,1007,1007,1009,1007,1005,1009,1008,1005,1007,1006,1004,1004,1002,1000,1001,999,1000,999,995,999,993,990,990,991
11,2038,2031,2028,2028,2024,2026,2026,2022,2026,2020,2020,2021,2017,2019,2020,2017,2016,2016,2017,2014,2011,2009,2007,2007,2004,2003,2001,2003,2000,1992,1986,1985
12,4082,4080,4077,4076,4072,4068,4066,4068,4064,4071,4061,4062,4063,4062,4063,4060,4061,4063,4062,4056,4056,4052,4050,4050,4042,4034,4038,4040,4032,4028,4017,4015
13,8179,8173,8173,8171,8166,8170,8167,8162,8163,8163,8161,8158,8158,8161,8156,8156,8157,8158,8155,8155,8152,8144,8142,8134,8135,8130,8132,8129,8124,8109,8111,8111
