p,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000,20000,25000,30000
6,61,60,60,60,60,60,60,59,59,59,59,60,59,59,60,59,58,58,59,58,59,58,57,57,57,57,57,56,54,56,55,55
7,124,123,123,122,123,123,123,122,120,123,122,122,121,121,120,121,122,121,119,119,119,119,118,118,117,117,117,116,113,115,111,116
8,251,252,250,250,251,251,250,250,250,248,248,248,248,247,248,248,248,247,248,247,246,246,244,244,243,242,243,243,238,240,236,238
9,510,508,506,507,505,505,503,504,504,503,504,503,503,502,502,502,504,502,502,502,500,500,498,499,500,499,497,497,494,494,492,492
10,1019,1016,1018,1016,1017,1014,1012,1013,1012,1016,1011,1010,1012,1012,1012,1013,1011,1011,1010,1009,1010,1005,1006,1006,1005,1002,1004,1001,992,999,991,993
11,2043,2041,2040,2040,2040,2038,2038,2038,2038,2036,2034,2035,2037,2036,2036,2035,2036,2033,2033,2035,2035,2029,2032,2028,2028,2028,2026,2026,1992,2020,1987,2018
12,4090,4088,4084,4082,4084,4082,4080,4080,4075,4078,4079,4079,4075,4076,4076,4076,4078,4075,4073,4072,4073,4066,4066,4063,4066,4061,4062,4063,4030,4049,4018,4044
13,8183,8178,8174,8172,8170,8169,8168,8167,8168,8164,8164,8159,8162,8161,8156,8162,8156,8157,8158,8157,8149,8150,8144,8138,8143,8135,8136,8132,8117,8117,8110,8109
